CustomerID,Age,AnnualIncome,EducationYears,FamilySize,CreditScore,MonthlySpend,SatisfactionScore,Region,MembershipType
1,34,45000,16,2,720,1200,78,North,Gold
2,28,38000,14,1,680,850,65,South,Silver
3,45,75000,18,3,780,2100,88,East,Platinum
4,52,82000,20,2,810,1950,92,West,Platinum
5,31,42000,16,4,650,1100,72,North,Silver
6,39,58000,17,2,710,1450,82,South,Gold
7,47,69000,16,3,740,1800,85,East,Gold
8,29,36000,12,1,620,750,58,West,Bronze
9,43,71000,18,2,760,1650,87,North,Platinum
10,36,49000,15,3,690,1250,75,South,Silver
11,41,63000,17,4,725,1550,83,East,Gold
12,27,32000,13,2,640,680,62,West,Bronze
13,49,78000,19,1,790,2200,89,North,Platinum
14,33,47000,16,2,705,1150,70,South,Silver
15,38,54000,15,3,695,1350,80,East,Gold
16,44,68000,17,2,750,1700,86,West,Gold
17,30,39000,14,1,660,800,60,North,Bronze
18,46,73000,18,4,770,1900,90,South,Platinum
19,35,51000,16,2,715,1300,76,East,Silver
20,42,67000,17,3,735,1600,84,West,Gold
